name;dt;href;source
Владимир Путин отложил военный парад;2020-04-18 13:30:00;https://yandex.ru/news/story/Vladimir_Putin_otlozhil_voennyj_parad--d4624242b307bd79314d5adafc529946?lr=213&lang=ru&stid=ygNrsdCJawpwv0T7fqCV&persistent_id=94268272&rubric=politics&from=index;Коммерсантъ
Десятки депутатов призвали выплатить всем россиянам по 25 тысяч рублей;2020-04-18 16:12:00;https://yandex.ru/news/story/Desyatki_deputatov_prizvali_vyplatit_vsem_rossiyanam_po_25_tysyach_rublej--dfd9e89dc73e4009d849f88ec27f7150?lr=213&lang=ru&stid=qedYEKUrfCtKHVeyuMMT&persistent_id=94322055&rubric=society&from=index;РИА Новости
Распространение коронавируса в Московской области удалось замедлить;2020-04-18 15:51:00;https://yandex.ru/news/story/Rasprostranenie_koronavirusa_v_Moskovskoj_oblasti_udalos_zamedlit--b8a83d0f42eec44e120e1af706f0c977?lr=213&lang=ru&stid=NTqpsp1niYVd9_9mRaXQ&persistent_id=94851700&rubric=society&from=index;Российская газета
Синоптики пообещали тёплую майскую погоду в России;2020-04-18 16:16:00;https://yandex.ru/news/story/Sinoptiki_poobeshhali_tyopluyu_majskuyu_pogodu_v_Rossii--a02f0223333a96241a6f3dc3b9390fe8?lr=213&lang=ru&stid=hVO2u5T8Y0dt1rDiv-4V&persistent_id=94832396&rubric=society&from=index;REGNUM
Сотрудники ФСБ и МВД раскрыли номера своих личных автомобилей;2020-04-18 16:24:00;https://yandex.ru/news/story/Sotrudniki_FSB_i_MVD_raskryli_nomera_svoikh_lichnykh_avtomobilej--fde393a770d7cb80f742f9ad5b62ca98?lr=213&lang=ru&stid=3jMVdj1yhqoMcmqqN3sh&persistent_id=94852085&rubric=society&from=index;Lenta.ru
Президентом АФК «Система» назначен Владимир Чирахов;2020-04-18 16:10:00;https://yandex.ru/news/story/Prezidentom_AFK_Sistema_naznachen_Vladimir_CHirakhov--14af003eaf08594808345e314b259646?lr=213&lang=ru&stid=aqWD2E_lUYEaOP26PYG3&persistent_id=94807899&rubric=society&from=index;RT на русском
Путин объявил о дополнительных мерах поддержки бизнеса;2020-04-17 14:46:00;https://yandex.ru/news/story/Putin_obyavil_o_dopolnitelnykh_merakh_podderzhki_biznesa--f68fe2c05023941f241d0f180c1a5577?lr=213&lang=ru&stid=7a2mBdrrLLstpn4vYQQk&persistent_id=94824207&rubric=business&from=index;РИА Новости
Глава ЦБ оценила идею раздачи денег населению;2020-04-18 13:36:00;https://yandex.ru/news/story/Glava_CB_ocenila_ideyu_razdachi_deneg_naseleniyu--40c0c45dbb56a0d3b52412ce9a661cee?lr=213&lang=ru&stid=YrXzH6iUUNAIiN3X-HzN&persistent_id=94323572&rubric=business&from=index;BFM.ru
В России 14 банкам разрешили выдавать беспроцентные кредиты бизнесу;2020-04-18 16:18:00;https://yandex.ru/news/story/V_Rossii_14_bankam_razreshili_vydavat_besprocentnye_kredity_biznesu--9cd830f1cae668a657d5a4cec67918aa?lr=213&lang=ru&stid=Ry0dkH2T6e3-uNhHfpd5&persistent_id=94856880&rubric=business&from=index;Газета.Ru
Россия и Саудовская Аравия приготовились к новым действиям по нефти;2020-04-18 13:11:00;https://yandex.ru/news/story/Rossiya_i_Saudovskaya_Araviya_prigotovilis_k_novym_dejstviyam_po_nefti--4bb15124fd61dc3fa41cad372a7181ea?lr=213&lang=ru&stid=Auxk&persistent_id=94855362&rubric=business&from=index;Lenta.ru
Мишустин ответил на слова главы МЭР фразой «это поручение президента»;2020-04-18 06:12:00;https://yandex.ru/news/story/Mishustin_otvetil_na_slova_glavy_MEHR_frazoj_ehto_poruchenie_prezidenta--573a178061c35e7c0efcba7d4d8cc860?lr=213&lang=ru&stid=__a_UnJNjK0HvvIbKYLH&persistent_id=94251450&rubric=business&from=index;РБК
Трамп обновил прогноз относительно числа жертв коронавируса в США;2020-04-18 16:02:00;https://yandex.ru/news/story/Tramp_obnovil_prognoz_otnositelno_chisla_zhertv_koronavirusa_v_SSHA--ca94993c98e79e1aeff296896baa5fb5?lr=213&lang=ru&stid=n9S-lTEn4nMfCED2ehI4&persistent_id=94823560&rubric=world&from=index;Piter.tv
Нобелевский лауреат заявил об искусственном происхождении коронавируса;2020-04-18 14:56:00;https://yandex.ru/news/story/Nobelevskij_laureat_zayavil_ob_iskusstvennom_proiskhozhdenii_koronavirusa--054412bd9f37453a3236a57200203839?lr=213&lang=ru&stid=op37tw0ml5eCh2lvcX9G&persistent_id=94806344&rubric=world&from=index;Портал Поиск
Власти Японии раздадут деньги жителям страны из-за коронавируса;2020-04-18 15:12:00;https://yandex.ru/news/story/Vlasti_YAponii_razdadut_dengi_zhitelyam_strany_iz-za_koronavirusa--f50045fadaf1a45220ef9a5add8e1728?lr=213&lang=ru&stid=2r_DJsPTJVstfjbzknqK&persistent_id=94307419&rubric=world&from=index;МонаВиста
Химический анализ по делу MH-17 показал ошибку следствия Нидерландов;2020-04-18 16:04:00;https://yandex.ru/news/story/KHimicheskij_analiz_po_delu_MH-17_pokazal_oshibku_sledstviya_Niderlandov--fc432e2d5fa32bc6b59b399c0f779c18?lr=213&lang=ru&stid=A7xjJk3lhGCuj40o5EHA&persistent_id=94225700&rubric=world&from=index;Военное дело
В Турции назвали сроки открытия туристического сезона;2020-04-18 16:24:00;https://yandex.ru/news/story/V_Turcii_nazvali_sroki_otkrytiya_turisticheskogo_sezona--f36441c130f0de5a96c237aa08173dbd?lr=213&lang=ru&stid=PoaT1Hmisg1T4nLx6sB7&persistent_id=94277041&rubric=world&from=index;Профиль
